9  0.413953
19  0.413938
29  0.413922
39  0.413907
49  0.413891
59  0.413876
69  0.413861
79  0.413846
89  0.413831
99  0.413816
109  0.413801
119  0.413786
129  0.413771
139  0.413757
149  0.413742
159  0.413728
169  0.413713
179  0.413699
189  0.413685
199  0.413671
209  0.413656
219  0.413642
229  0.413628
239  0.413615
249  0.413601
259  0.413587
269  0.413573
279  0.413560
289  0.413546
299  0.413533
309  0.413519
319  0.413506
329  0.413493
339  0.413479
349  0.413466
359  0.413453
369  0.413440
379  0.413427
389  0.413414
399  0.413402
409  0.413389
419  0.413376
429  0.413363
439  0.413351
449  0.413338
459  0.413326
469  0.413313
479  0.413301
489  0.413289
499  0.413277
509  0.413265
519  0.413252
529  0.413240
539  0.413228
549  0.413216
559  0.413205
569  0.413193
579  0.413181
589  0.413169
599  0.413158
609  0.413146
619  0.413135
629  0.413123
639  0.413112
649  0.413100
659  0.413089
669  0.413078
679  0.413066
689  0.413055
699  0.413044
709  0.413033
719  0.413022
729  0.413011
739  0.413000
749  0.412989
759  0.412978
769  0.412968
779  0.412957
789  0.412946
799  0.412936
809  0.412925
819  0.412915
829  0.412904
839  0.412894
849  0.412883
859  0.412873
869  0.412863
879  0.412852
889  0.412842
899  0.412832
909  0.412822
919  0.412812
929  0.412802
939  0.412792
949  0.412782
959  0.412772
969  0.412762
979  0.412752
989  0.412742
999  0.412733
